date,leader,role,approve,disapprove,undecided,net,printings,agreeing,disputed,date_basis,label,first_issue,issues
1983-09-24,peacock,opposition,46,27,27,19,8,8,0,printed,"Sep 17/24",1983-10-11,nla.obj-1314073794 nla.obj-1314117751 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453497372 nla.obj-1453622183
1983-10-08,hawke,pm,70,18,12,52,7,7,0,printed,"Oct 1/8",1983-11-22,nla.obj-1314073794 nla.obj-1314940477 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-10-08,peacock,opposition,48,28,24,20,7,7,0,printed,"Oct 1/8",1983-11-22,nla.obj-1314073794 nla.obj-1314117751 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-10-22,hawke,pm,65,19,16,46,8,8,0,printed,"Oct 15/22",1983-11-22,nla.obj-1314073794 nla.obj-1314940477 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-10-22,peacock,opposition,42,32,26,10,8,8,0,printed,"Oct 15/22",1983-11-22,nla.obj-1314073794 nla.obj-1314117751 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-11-05,hawke,pm,67,21,12,46,8,8,0,printed,"Oct 29/Nov 5",1983-11-22,nla.obj-1314073794 nla.obj-1314940477 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-11-05,peacock,opposition,39,36,25,3,8,8,0,printed,"Oct 29/Nov 5",1983-11-22,nla.obj-1314073794 nla.obj-1314117751 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-11-19,hawke,pm,65,21,14,44,7,7,0,printed,"November 12/19",1983-12-20,nla.obj-1314940477 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-11-19,peacock,opposition,40,35,25,5,7,7,0,printed,"Nov 12/19",1983-12-06,nla.obj-1314117751 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-12-03,hawke,pm,63,22,15,41,7,7,0,printed,"Nov 26/Dec 3",1983-12-20,nla.obj-1314940477 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-12-03,peacock,opposition,39,35,26,4,6,6,0,printed,"Nov 26/Dec 3",1983-12-20,nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323772284 nla.obj-1453622183
1983-12-17,hawke,pm,66,20,14,46,6,6,0,printed,"December 10/17",1984-01-10,nla.obj-1314940477 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1453622183
1983-12-17,peacock,opposition,41,36,23,5,5,5,0,printed,"Dec 10/17",1984-01-10,nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1453622183
1984-01-14,hawke,pm,73,15,12,58,9,9,0,printed,"January 7/14",1984-01-31,nla.obj-1314940477 nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064 nla.obj-1503930672
1984-01-14,peacock,opposition,41,34,25,7,7,7,0,printed,"Jan 7/14",1984-02-14,nla.obj-1315429824 nla.obj-1315483362 nla.obj-1315810202 nla.obj-1315862696 nla.obj-1323584871 nla.obj-1323604032 nla.obj-1323663064
