slug,kind,first_capture,wayback_url
4-march-2014,federal,20150304063330,https://web.archive.org/web/20150304063330id_/http://www.galaxyresearch.com.au/4-march-2014/
45-february-2015,federal,20150228225718,https://web.archive.org/web/20150228225718id_/http://www.galaxyresearch.com.au/45-february-2015/
46-may-2016,federal,20160619005629,https://web.archive.org/web/20160619005629id_/http://www.galaxyresearch.com.au:80/46-may-2016/
5-6-february-2014,federal,20140222153205,https://web.archive.org/web/20140222153205id_/http://www.galaxyresearch.com.au/5-6-february-2014/
5-7-march-2013,federal,20130410031557,https://web.archive.org/web/20130410031557id_/http://www.galaxyresearch.com.au/5-7-march-2013/
6-february-2014,federal,20140303071615,https://web.archive.org/web/20140303071615id_/http://www.galaxyresearch.com.au/6-february-2014/
67-jan-2015,federal,20150228225800,https://web.archive.org/web/20150228225800id_/http://www.galaxyresearch.com.au/67-jan-2015/
78-jan-2015,federal,20150228225752,https://web.archive.org/web/20150228225752id_/http://www.galaxyresearch.com.au/78-jan-2015/
9-11-april-2013,federal,20130503061538,https://web.archive.org/web/20130503061538id_/http://www.galaxyresearch.com.au/9-11-april-2013/
9-july-2014,federal,20150303053606,https://web.archive.org/web/20150303053606id_/http://www.galaxyresearch.com.au/9-july-2014/
sep-17-20,federal,20160120230605,https://web.archive.org/web/20160120230605id_/http://www.galaxyresearch.com.au/sep-17-20/
galaxy-110514-budget.pdf,ghostwhovotes,20240503055447,https://web.archive.org/web/20240503055447id_/https://ghostwhovotes.files.wordpress.com/2011/05/galaxy-110514-budget.pdf
galaxy-111120-qld.jpg,ghostwhovotes,20180501070016,https://web.archive.org/web/20180501070016id_/https://ghostwhovotes.files.wordpress.com/2011/11/galaxy-111120-qld.jpg
galaxy-120225.pdf,ghostwhovotes,20180112214917,https://web.archive.org/web/20180112214917id_/https://ghostwhovotes.files.wordpress.com/2012/02/galaxy-120225.pdf
galaxy-120430.pdf,ghostwhovotes,20181026133124,https://web.archive.org/web/20181026133124id_/https://ghostwhovotes.files.wordpress.com/2012/04/galaxy-120430.pdf
