id,date,masthead,title,page,words,pollster,url
122410912,1992-04-20,The Canberra Times (ACT : 1926 - 1995),"Reith: we won't shift No need to change GST, or tariffs",1,554,Saulwick,https://trove.nla.gov.au/newspaper/article/122410912
122411097,1992-04-21,The Canberra Times (ACT : 1926 - 1995),Popularities declining in all directions — new poll,2,214,Morgan,https://trove.nla.gov.au/newspaper/article/122411097
122411117,1992-04-21,The Canberra Times (ACT : 1926 - 1995),IN BRIEF Confidence on the way up,2,352,Morgan,https://trove.nla.gov.au/newspaper/article/122411117
122411263,1992-04-22,The Canberra Times (ACT : 1926 - 1995),Tough first day for Keating Suharto call for respect,1,582,Saulwick,https://trove.nla.gov.au/newspaper/article/122411263
122411995,1992-04-25,The Canberra Times (ACT : 1926 - 1995),Federal ALP suffers popularity slump POLL WATCH,9,444,Morgan,https://trove.nla.gov.au/newspaper/article/122411995
122412243,1992-04-26,The Canberra Times (ACT : 1926 - 1995),Electorate sees through Keating's pyrotechnics RIGHT,8,960,Saulwick,https://trove.nla.gov.au/newspaper/article/122412243
132376331,1992-05-02,The Canberra Times (ACT : 1926 - 1995),Most would still keep Union Jack,9,290,Morgan,https://trove.nla.gov.au/newspaper/article/132376331
132377816,1992-05-09,The Canberra Times (ACT : 1926 - 1995),Keating edges in front of Hewson POLL WATCH,13,298,Morgan,https://trove.nla.gov.au/newspaper/article/132377816
132379816,1992-05-16,The Canberra Times (ACT : 1926 - 1995),Opinions on flag are unchanged POLL WATCH,11,297,AGB McNair,https://trove.nla.gov.au/newspaper/article/132379816
132380486,1992-05-19,The Canberra Times (ACT : 1926 - 1995),Right to die: more approve,3,217,Morgan,https://trove.nla.gov.au/newspaper/article/132380486
132380600,1992-05-20,The Canberra Times (ACT : 1926 - 1995),Govt and Opposition 'run neck and neck',1,278,Newspoll,https://trove.nla.gov.au/newspaper/article/132380600
132382247,1992-05-26,The Canberra Times (ACT : 1926 - 1995),Aust 'taking too many migrants',2,243,Morgan,https://trove.nla.gov.au/newspaper/article/132382247
132383240,1992-05-30,The Canberra Times (ACT : 1926 - 1995),Stone on fictitious doctors and dunderheads,2,521,Morgan,https://trove.nla.gov.au/newspaper/article/132383240
126926931,1992-06-05,The Canberra Times (ACT : 1926 - 1995),WEEKEND MOTORING Survey shows bad image Industry 'insulted' by result,18,386,Morgan,https://trove.nla.gov.au/newspaper/article/126926931
126927150,1992-06-06,The Canberra Times (ACT : 1926 - 1995),Poll reveals Coalition's progress WATCH POLL,2,479,Morgan,https://trove.nla.gov.au/newspaper/article/126927150
126927839,1992-06-09,The Canberra Times (ACT : 1926 - 1995),Drop for Vic Opposition,12,125,Morgan,https://trove.nla.gov.au/newspaper/article/126927839
126928543,1992-06-13,The Canberra Times (ACT : 1926 - 1995),Labor 'would have won in NSW' POLL WATCH,2,331,Morgan,https://trove.nla.gov.au/newspaper/article/126928543
126929912,1992-06-20,The Canberra Times (ACT : 1926 - 1995),Coalition ahead but Hewson slides: poll POLL WATCH,2,382,Morgan,https://trove.nla.gov.au/newspaper/article/126929912
126930315,1992-06-22,The Canberra Times (ACT : 1926 - 1995),IN BRIEF Pessimism on economy: poll,2,409,Morgan,https://trove.nla.gov.au/newspaper/article/126930315
126931346,1992-06-27,The Canberra Times (ACT : 1926 - 1995),Consumer confidence falls again: poll POLL WATCH,2,417,Morgan,https://trove.nla.gov.au/newspaper/article/126931346
126936229,1992-07-17,The Canberra Times (ACT : 1926 - 1995),Pay drive by unions hardly changed,9,1311,Saulwick,https://trove.nla.gov.au/newspaper/article/126936229
126936385,1992-07-18,The Canberra Times (ACT : 1926 - 1995),"Union awards, IRC rulings losing popularity with voters POLL WATCH",2,331,Saulwick,https://trove.nla.gov.au/newspaper/article/126936385
126938585,1992-07-27,The Canberra Times (ACT : 1926 - 1995),PM's popularity slumps,1,319,Morgan,https://trove.nla.gov.au/newspaper/article/126938585
137167355,1992-08-01,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Boost in popularity for PM: poll,2,365,Newspoll,https://trove.nla.gov.au/newspaper/article/137167355
137167101,1992-08-01,The Canberra Times (ACT : 1926 - 1995),Boost in popularity for PM: poll,2,363,Newspoll,https://trove.nla.gov.au/newspaper/article/137167101
137168214,1992-08-03,The Canberra Times (ACT : 1926 - 1995),Poll reveals ALP slipping in four states,3,222,Morgan,https://trove.nla.gov.au/newspaper/article/137168214
137168542,1992-08-03,The Canberra Times (ACT : 1926 - 1995),Poll reveals ALP slipping in four states,3,223,Morgan,https://trove.nla.gov.au/newspaper/article/137168542
137169908,1992-08-06,The Canberra Times (ACT : 1926 - 1995),George might be taking a pounding,6,261,Gallup,https://trove.nla.gov.au/newspaper/article/137169908
137170809,1992-08-08,The Canberra Times (ACT : 1926 - 1995),Youth-jobs policies: both sides miss boat POLL WATCH,2,363,Saulwick,https://trove.nla.gov.au/newspaper/article/137170809
