2016 Federal Election House of Representatives Two Party Preferred Flow of Preferences By State By Party [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:06 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb	PartyAb	PartyNm	Liberal/National Coalition Transfer Votes	Liberal/National Coalition Transfer Percentage	Australian Labor Party Transfer Votes	Australian Labor Party Transfer Percentage
WA		First Preferences	611605	58.48	434318	41.52
SA	GRN	The Greens	10067	15.58	54538	84.42
SA	FFP	Family First	25396	62.03	15545	37.97
SA	AJP	Animal Justice Party	2997	33.75	5884	66.25
SA	CDP	Christian Democratic Party	970	56.56	745	43.44
SA	LDP	Liberal Democrats (LDP)	1584	72.73	594	27.27
SA	XEN	Nick Xenophon Team	87302	39.47	133908	60.53
SA	IND	Independent	3248	41.98	4489	58.02
SA		First Preferences	365155	52.66	328314	47.34
TAS	GRN	The Greens	4289	12.51	30002	87.49
TAS	DLP	DLP - Democratic Labour Party	195	30.85	437	69.15
TAS	ARF	Australian Recreational Fishers	4161	36.97	7093	63.03
TAS	CDP	Christian Democratic Party	4231	66.68	2114	33.32
TAS	LDP	Liberal Democrats (LDP)	857	62.10	523	37.90
TAS	REP	Renewable Energy Party	1458	32.16	3076	67.84
TAS	TAP	The Arts Party	640	38.25	1033	61.75
TAS	IND	Independent	8306	28.28	21066	71.72
TAS		First Preferences	118956	48.33	127186	51.67
ACT	GRN	The Greens	4424	11.60	33705	88.40
ACT	BTA	Bullet Train For Australia	4602	43.12	6071	56.88
ACT	IND	Independent	1881	39.96	2826	60.04
ACT		First Preferences	87346	43.84	111887	56.16
NT	GRN	The Greens	1781	20.11	7077	79.89
NT	CEC	Citizens Electoral Council	204	45.95	240	54.05
NT	RUA	Rise Up Australia Party	1382	55.66	1101	44.34
NT	IND	Independent	2230	38.90	3503	61.10
NT	AFN	Australia First Party (NSW) Incorporated	408	51.13	390	48.87
NT	HMP	HEMP	431	37.71	712	62.29
NT	LDP	Liberal Democrats (LDP)	931	73.02	344	26.98
NT	SOL	Online Direct Democracy	131	35.50	238	64.50
NT	ASP	Shooters, Fishers and Farmers	1939	42.30	2645	57.70
NT		First Preferences	32409	45.15	39364	54.85
