2022 Federal Election House of Representatives Two Party Preferred Flow of Preferences By State By Party [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:12 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb	PartyAb	PartyNm	Liberal/National Coalition Transfer Votes	Liberal/National Coalition Transfer Percentage	Australian Labor Party Transfer Votes	Australian Labor Party Transfer Percentage
ACT	GRN	The Greens	4497	8.54	48151	91.46
ACT	ON	Pauline Hanson's One Nation	4339	65.44	2291	34.56
ACT	UAPP	United Australia Party	4116	59.97	2748	40.03
ACT	LDP	Liberal Democratic Party	1258	73.74	448	26.26
ACT	IND	Independent	4229	33.05	8566	66.95
ACT		First Preferences	74759	37.13	126595	62.87
NT	GRN	The Greens	2391	18.14	10791	81.86
NT	LDP	Liberal Democratic Party	4905	62.99	2882	37.01
NT	ON	Pauline Hanson's One Nation	3944	72.79	1474	27.21
NT	UAPP	United Australia Party	3010	66.74	1500	33.26
NT	CEC	Australian Citizens Party	315	63.38	182	36.62
NT	IND	Independent	643	47.38	714	52.62
NT		First Preferences	29664	43.50	38522	56.50
