Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
La Trobe,VIC,LP,55.83,44.17,2.16,2004,-5.83,-2.16
Lalor,VIC,ALP,41.21,58.79,3.27,2004,8.79,-3.27
Leichhardt,QLD,LP,60,40,3.61,2004,-10,-3.61
Lilley,QLD,ALP,44.73,55.27,-0.7,2004,5.27,0.7
Lindsay,NSW,LP,55.26,44.74,-0.21,2004,-5.26,0.21
Lingiari,NT,ALP,42.34,57.66,-2.37,2004,7.66,2.37
Longman,QLD,LP,57.66,42.34,5.14,2004,-7.66,-5.14
Lowe,NSW,ALP,46.7,53.3,0.51,2004,3.3,-0.51
Lyne,NSW,NP,63.03,36.97,1.79,2004,-13.03,-1.79
Lyons,TAS,ALP,46.32,53.68,4.49,2004,3.68,-4.49
Macarthur,NSW,LP,59.51,40.49,2.55,2004,-9.51,-2.55
Mackellar,NSW,LP,65.75,34.25,-1.12,2004,-15.75,1.12
Macquarie,NSW,LP,58.92,41.08,0.25,2004,-8.92,-0.25
Makin,SA,LP,50.93,49.07,-2.73,2004,-0.93,2.73
Mallee,VIC,NP,74.75,25.25,3.89,2004,-24.75,-3.89
Maranoa,QLD,NP,70.93,29.07,5.55,2004,-20.93,-5.55
Maribyrnong,VIC,ALP,40.53,59.47,5.96,2004,9.47,-5.96
Mayo,SA,LP,63.59,36.41,-0.7201,2004,-13.59,0.7201
McEwen,VIC,LP,56.42,43.58,4.1,2004,-6.42,-4.1
Monash (fmr McMillan),VIC,LP,54.99,45.01,2.15,2004,-4.99,-2.15
McPherson,QLD,LP,63.89,36.11,1.72,2004,-13.89,-1.72
Melbourne,VIC,ALP,28.86,71.14,-1.26,2004,21.14,1.26
Macnamara (fmr Melbourne Ports),VIC,ALP,46.26,53.74,1.95,2004,3.74,-1.95
Menzies,VIC,LP,60.67,39.33,1.76,2004,-10.67,-1.76
Mitchell,NSW,LP,70.68,29.32,-0.64,2004,-20.68,0.64
Moncrieff,QLD,LP,70.14,29.86,3.8,2004,-20.14,-3.8
Moore,WA,LP,60.83,39.17,4.79,2004,-10.83,-4.79
Moreton,QLD,LP,54.17,45.83,1.61,2004,-4.17,-1.61
Nicholls (fmr Murray),VIC,LP,74.08,25.92,2.14,2004,-24.08,-2.14
New England,NSW,NP,63.21,36.79,-0.6387,2004,-13.21,0.6387
Newcastle,NSW,ALP,40.02,59.98,-3.07,2004,9.98,3.07
North Sydney,NSW,LP,60.03,39.97,-3.19,2004,-10.03,3.19
O'Connor,WA,LP,70.39,29.61,1.3,2004,-20.39,-1.3
