Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
Gorton,VIC,ALP,27.84,72.16,0.94,2010,22.16,0.94
Grayndler,NSW,ALP,29.37,70.63,-4.22,2010,20.63,-4.22
Greenway,NSW,ALP,49.12,50.88,-4.79,2010,0.88,-4.79
Grey,SA,LP,61.16,38.84,-6.73,2010,-11.16,-6.73
Griffith,QLD,ALP,41.54,58.46,-3.86,2010,8.46,-3.86
Groom,QLD,LNQ,68.53,31.47,-10.31,2010,-18.53,-10.31
Hasluck,WA,LP,50.57,49.43,-1.42,2010,-0.57,-1.42
Herbert,QLD,LNQ,52.17,47.83,-2.2,2010,-2.17,-2.2
Higgins,VIC,LP,56.75,43.25,0.29,2010,-6.75,0.29
Hindmarsh,SA,ALP,44.3,55.7,0.65,2010,5.7,0.65
Hinkler,QLD,LNQ,60.39,39.61,-8.87,2010,-10.39,-8.87
Holt,VIC,ALP,36.77,63.23,1.6,2010,13.23,1.6
Hotham,VIC,ALP,36.5,63.5,0.5,2010,13.5,0.5
Hughes,NSW,LP,55.17,44.83,-4.63,2010,-5.17,-4.63
Hume,NSW,LP,58.72,41.28,-3.37,2010,-8.72,-3.37
Hunter,NSW,ALP,37.52,62.48,-3.2,2010,12.48,-3.2
Indi,VIC,LP,59.94,40.06,-0.75,2010,-9.94,-0.75
Isaacs,VIC,ALP,38.98,61.02,3.33,2010,11.02,3.33
Jagajaga,VIC,ALP,38.48,61.52,2.54,2010,11.52,2.54
Kennedy,QLD,LNQ,61.94,38.06,-4.65,2010,-11.94,-4.65
Kingsford Smith,NSW,ALP,44.84,55.16,-8.1,2010,5.16,-8.1
Kingston,SA,ALP,36.09,63.91,9.49,2010,13.91,9.49
Kooyong,VIC,LP,57.55,42.45,1.98,2010,-7.55,1.98
La Trobe,VIC,ALP,49.09,50.91,1.42,2010,0.91,1.42
Lalor,VIC,ALP,27.85,72.15,6.62,2010,22.15,6.62
Leichhardt,QLD,LNQ,54.55,45.45,-8.61,2010,-4.55,-8.61
Lilley,QLD,ALP,46.82,53.18,-4.77,2010,3.18,-4.77
Lindsay,NSW,ALP,48.88,51.12,-5.16,2010,1.12,-5.16
Lingiari,NT,ALP,46.3,53.7,-7.46,2010,3.7,-7.46
Longman,QLD,LNQ,51.92,48.08,-3.79,2010,-1.92,-3.79
Lyne,NSW,NP,62.45,37.55,-3.65,2010,-12.45,-3.65
Lyons,TAS,ALP,37.71,62.29,3.95,2010,12.29,3.95
Macarthur,NSW,LP,53.02,46.98,-3.53,2010,-3.02,-3.53
Mackellar,NSW,LP,65.72,34.28,-3.34,2010,-15.72,-3.34
Macquarie,NSW,LP,51.26,48.74,-1.54,2010,-1.26,-1.54
Makin,SA,ALP,37.8,62.2,4.5,2010,12.2,4.5
Mallee,VIC,NP,74.41,25.59,-3.14,2010,-24.41,-3.14
Maranoa,QLD,LNQ,72.89,27.11,-8.83,2010,-22.89,-8.83
Maribyrnong,VIC,ALP,33.14,66.86,1.54,2010,16.86,1.54
Mayo,SA,LP,57.35,42.65,-0.29,2010,-7.35,-0.29
McEwen,VIC,ALP,44.68,55.32,5.34,2010,5.32,5.34
McMahon,NSW,ALP,42.19,57.81,-5.96,2010,7.81,-5.96
Monash (fmr McMillan),VIC,LP,54.41,45.59,0.38,2010,-4.41,0.38
McPherson,QLD,LNQ,60.28,39.72,-1.63,2010,-10.28,-1.63
Melbourne,VIC,ALP,26.7,73.3,1.03,2010,23.3,1.03
Macnamara (fmr Melbourne Ports),VIC,ALP,42.44,57.56,0.41,2010,7.56,0.41
Menzies,VIC,LP,58.72,41.28,-2.7,2010,-8.72,-2.7
Mitchell,NSW,LP,67.16,32.84,-7.51,2010,-17.16,-7.51
Moncrieff,QLD,LNQ,67.49,32.51,-3.69,2010,-17.49,-3.69
Moore,WA,LP,61.19,38.81,-2.26,2010,-11.19,-2.26
Moreton,QLD,ALP,48.87,51.13,-4.88,2010,1.13,-4.88
Nicholls (fmr Murray),VIC,LP,70.35,29.65,-2.09,2010,-20.35,-2.09
New England,NSW,NP,66.8,33.2,-1.96,2010,-16.8,-1.96
Newcastle,NSW,ALP,37.51,62.49,-3.42,2010,12.49,-3.42
North Sydney,NSW,LP,64.06,35.94,-8.55,2010,-14.06,-8.55
O'Connor,WA,NP,73,27,-10.24,2010,-23,-10.24
Oxley,QLD,ALP,44.23,55.77,-5.57,2010,5.77,-5.57
Page,NSW,ALP,45.81,54.19,1.83,2010,4.19,1.83
Parkes,NSW,NP,68.86,31.14,-5.19,2010,-18.86,-5.19
Parramatta,NSW,ALP,45.63,54.37,-5.49,2010,4.37,-5.49
Paterson,NSW,LP,55.33,44.67,-4.75,2010,-5.33,-4.75
Pearce,WA,LP,58.86,41.14,-1.17,2010,-8.86,-1.17
Perth,WA,ALP,44.12,55.88,-2.06,2010,5.88,-2.06
Petrie,QLD,ALP,47.49,52.51,-1.7,2010,2.51,-1.7
Port Adelaide,SA,ALP,29.97,70.03,0.28,2010,20.03,0.28
Rankin,QLD,ALP,44.59,55.41,-6.26,2010,5.41,-6.26
Reid,NSW,ALP,47.32,52.68,-8.16,2010,2.68,-8.16
Richmond,NSW,ALP,43.01,56.99,-1.88,2010,6.99,-1.88
Riverina,NSW,NP,68.17,31.83,-3.62,2010,-18.17,-3.62
Robertson,NSW,ALP,49,51,0.91,2010,1,0.91
Ryan,QLD,LNQ,57.16,42.84,-5.95,2010,-7.16,-5.95
Scullin,VIC,ALP,27.75,72.25,1.4,2010,22.25,1.4
Shortland,NSW,ALP,37.15,62.85,-1.89,2010,12.85,-1.89
Solomon,NT,CLP,51.75,48.25,-1.94,2010,-1.75,-1.94
Stirling,WA,LP,55.55,44.45,-4.28,2010,-5.55,-4.28
Sturt,SA,LP,53.43,46.57,-2.49,2010,-3.43,-2.49
Swan,WA,LP,52.53,47.47,-2.8,2010,-2.53,-2.8
Sydney,NSW,ALP,32.93,67.07,-2.25,2010,17.07,-2.25
Tangney,WA,LP,62.32,37.68,-2.51,2010,-12.32,-2.51
Throsby,NSW,ALP,37.89,62.11,-4.65,2010,12.11,-4.65
Spence (fmr Wakefield),SA,ALP,38.05,61.95,5.36,2010,11.95,5.36
Wannon,VIC,LP,57.29,42.71,0.18,2010,-7.29,0.18
Warringah,NSW,LP,63.09,36.91,-4.31,2010,-13.09,-4.31
Watson,NSW,ALP,40.86,59.14,-9.06,2010,9.14,-9.06
Wentworth,NSW,LP,64.86,35.14,-11.01,2010,-14.86,-11.01
Werriwa,NSW,ALP,43.25,56.75,-8.32,2010,6.75,-8.32
Wide Bay,QLD,LNQ,65.61,34.39,-7.22,2010,-15.61,-7.22
Wills,VIC,ALP,27.36,72.64,0.24,2010,22.64,0.24
Wright,QLD,LNQ,60.15,39.85,-6.36,2010,-10.15,-6.36
Adelaide,SA,ALP,46.05,53.95,-3.57,2013,3.95,-3.57
Aston,VIC,LP,58.2,41.8,-7.53,2013,-8.2,-7.53
Ballarat,VIC,ALP,45.11,54.89,-6.81,2013,4.89,-6.81
Banks,NSW,LP,51.83,48.17,-3.28,2013,-1.83,-3.28
Barker,SA,LP,66.55,33.45,-3.54,2013,-16.55,-3.54
Barton,NSW,LP,50.31,49.69,-7.17,2013,-0.31,-7.17
Bass,TAS,LP,54.04,45.96,-10.78,2013,-4.04,-10.78
Cooper (fmr Batman),VIC,ALP,29.02,70.98,-3.82,2013,20.98,-3.82
Bendigo,VIC,ALP,48.74,51.26,-8.16,2013,1.26,-8.16
Bennelong,NSW,LP,57.77,42.23,-4.65,2013,-7.77,-4.65
Berowra,NSW,LP,69.07,30.93,-2.87,2013,-19.07,-2.87
Blair,QLD,ALP,44.74,55.26,1.02,2013,5.26,1.02
Blaxland,NSW,ALP,38.57,61.43,-0.8,2013,11.43,-0.8
Bonner,QLD,LNP,53.69,46.31,-0.87,2013,-3.69,-0.87
Boothby,SA,LP,57.12,42.88,-6.5,2013,-7.12,-6.5
Bowman,QLD,LNP,58.86,41.14,1.53,2013,-8.86,1.53
Braddon,TAS,LP,52.56,47.44,-10.04,2013,-2.56,-10.04
Bradfield,NSW,LP,70.78,29.22,-2.6,2013,-20.78,-2.6
Brand,WA,ALP,47.12,52.88,-0.45,2013,2.88,-0.45
Brisbane,QLD,LNP,54.28,45.72,-3.15,2013,-4.28,-3.15
Bruce,VIC,ALP,48.2,51.8,-5.91,2013,1.8,-5.91
Calare,NSW,NP,65.97,34.03,-5.23,2013,-15.97,-5.23
Calwell,VIC,ALP,36.14,63.86,-6.2,2013,13.86,-6.2
Canberra,ACT,ALP,43.02,56.98,-2.17,2013,6.98,-2.17
Canning,WA,LP,61.81,38.19,-9.62,2013,-11.81,-9.62
Capricornia,QLD,LNP,50.77,49.23,-4.45,2013,-0.77,-4.45
Casey,VIC,LP,57.17,42.83,-5.31,2013,-7.17,-5.31
Charlton,NSW,ALP,40.77,59.23,-3.44,2013,9.23,-3.44
Chifley,NSW,ALP,39.45,60.55,-1.79,2013,10.55,-1.79
Chisholm,VIC,ALP,48.4,51.6,-4.18,2013,1.6,-4.18
Cook,NSW,LP,66.35,33.65,-3.69,2013,-16.35,-3.69
Corangamite,VIC,LP,53.94,46.06,-4.22,2013,-3.94,-4.22
Corio,VIC,ALP,42.25,57.75,-5.72,2013,7.75,-5.72
Cowan,WA,LP,57.46,42.54,-1.17,2013,-7.46,-1.17
Cowper,NSW,NP,61.71,38.29,-2.44,2013,-11.71,-2.44
Cunningham,NSW,ALP,40.12,59.88,-3.29,2013,9.88,-3.29
Curtin,WA,LP,67.42,32.58,-1.23,2013,-17.42,-1.23
Dawson,QLD,LNP,57.58,42.42,-5.15,2013,-7.58,-5.15
Deakin,VIC,LP,53.18,46.82,-3.78,2013,-3.18,-3.78
Clark (fmr Denison),TAS,ALP,41.09,58.91,-6.91,2013,8.91,-6.91
Dickson,QLD,LNP,56.72,43.28,-1.59,2013,-6.72,-1.59
Dobell,NSW,LP,50.68,49.32,-5.75,2013,-0.68,-5.75
Dunkley,VIC,LP,55.57,44.43,-4.53,2013,-5.57,-4.53
Durack,WA,LP,64.88,35.12,-1.21,2013,-14.88,-1.21
Eden-Monaro,NSW,LP,50.61,49.39,-4.85,2013,-0.61,-4.85
Fadden,QLD,LNP,64.36,35.64,-0.17,2013,-14.36,-0.17
Fairfax,QLD,LNP,61.68,38.32,-4.73,2013,-11.68,-4.73
Farrer,NSW,LP,67.43,32.57,-2.92,2013,-17.43,-2.92
Fisher,QLD,LNP,59.75,40.25,-5.62,2013,-9.75,-5.62
Flinders,VIC,LP,61.81,38.19,-2.67,2013,-11.81,-2.67
Flynn,QLD,LNP,56.53,43.47,-2.95,2013,-6.53,-2.95
Forde,QLD,LNP,54.38,45.62,-2.75,2013,-4.38,-2.75
Forrest,WA,LP,62.28,37.72,-3.54,2013,-12.28,-3.54
Fowler,NSW,ALP,33.2,66.8,8.04,2013,16.8,8.04
Franklin,TAS,ALP,44.91,55.09,-5.73,2013,5.09,-5.73
Fenner (fmr Fraser),ACT,ALP,37.38,62.62,-1.58,2013,12.62,-1.58
Fremantle,WA,ALP,45.23,54.77,-0.93,2013,4.77,-0.93
Gellibrand,VIC,ALP,33.47,66.53,-7.6,2013,16.53,-7.6
Gilmore,NSW,LP,52.65,47.35,2.67,2013,-2.65,2.67
Gippsland,VIC,NP,65.84,34.16,-4.39,2013,-15.84,-4.39
Goldstein,VIC,LP,61.03,38.97,-5.02,2013,-11.03,-5.02
Gorton,VIC,ALP,33.88,66.12,-7.51,2013,16.12,-7.51
Grayndler,NSW,ALP,29.66,70.34,-0.29,2013,20.34,-0.29
Greenway,NSW,ALP,47.02,52.98,2.1,2013,2.98,2.1
Grey,SA,LP,63.54,36.46,-2.38,2013,-13.54,-2.38
Griffith,QLD,ALP,46.99,53.01,-5.45,2013,3.01,-5.45
Groom,QLD,LNP,66.47,33.53,2.06,2013,-16.47,2.06
Hasluck,WA,LP,54.87,45.13,-4.3,2013,-4.87,-4.3
Herbert,QLD,LNP,56.17,43.83,-4,2013,-6.17,-4
Higgins,VIC,LP,59.93,40.07,-4.53,2013,-9.93,-4.53
Hindmarsh,SA,LP,51.89,48.11,-7.97,2013,-1.89,-7.97
Hinkler,QLD,LNP,59.04,40.96,1.35,2013,-9.04,1.35
Holt,VIC,ALP,40.91,59.09,-4.88,2013,9.09,-4.88
Hotham,VIC,ALP,42.73,57.27,-6.69,2013,7.27,-6.69
Hughes,NSW,LP,60.67,39.33,-5.5,2013,-10.67,-5.5
Hume,NSW,LP,61.47,38.53,-2.75,2013,-11.47,-2.75
Hunter,NSW,ALP,46.33,53.67,-8.81,2013,3.67,-8.81
Indi,VIC,LP,59.1,40.9,-0.11,2013,-9.1,-0.11
Isaacs,VIC,ALP,46.14,53.86,-6.55,2013,3.86,-6.55
Jagajaga,VIC,ALP,46.87,53.13,-8.02,2013,3.13,-8.02
Kennedy,QLD,LNP,67.15,32.85,-5.21,2013,-17.15,-5.21
Kingsford Smith,NSW,ALP,47.26,52.74,-2.42,2013,2.74,-2.42
Kingston,SA,ALP,40.3,59.7,-4.85,2013,9.7,-4.85
Kooyong,VIC,LP,61.06,38.94,-3.61,2013,-11.06,-3.61
La Trobe,VIC,LP,54.01,45.99,-5.67,2013,-4.01,-5.67
Lalor,VIC,ALP,37.84,62.16,-9.96,2013,12.16,-9.96
Leichhardt,QLD,LNP,55.68,44.32,-1.13,2013,-5.68,-1.13
Lilley,QLD,ALP,48.68,51.32,-1.86,2013,1.32,-1.86
Lindsay,NSW,LP,52.99,47.01,-4.11,2013,-2.99,-4.11
Lingiari,NT,ALP,49.12,50.88,-2.82,2013,0.88,-2.82
Longman,QLD,LNP,56.92,43.08,-5,2013,-6.92,-5
Lyne,NSW,NP,64.77,35.23,-2.32,2013,-14.77,-2.32
Lyons,TAS,LP,51.22,48.78,-13.51,2013,-1.22,-13.51
Macarthur,NSW,LP,61.36,38.64,-8.34,2013,-11.36,-8.34
Mackellar,NSW,LP,68.84,31.16,-3.12,2013,-18.84,-3.12
Macquarie,NSW,LP,54.48,45.52,-3.22,2013,-4.48,-3.22
Makin,SA,ALP,44.94,55.06,-6.94,2013,5.06,-6.94
Mallee,VIC,NP,73.66,26.34,-0.4,2013,-23.66,-0.4
Maranoa,QLD,LNP,72.28,27.72,0.61,2013,-22.28,0.61
Maribyrnong,VIC,ALP,38.61,61.39,-6.1,2013,11.39,-6.1
Mayo,SA,LP,62.51,37.49,-5.22,2013,-12.51,-5.22
McEwen,VIC,ALP,49.85,50.15,-9.04,2013,0.15,-9.04
McMahon,NSW,ALP,44.68,55.32,-2.49,2013,5.32,-2.49
Monash (fmr McMillan),VIC,LP,61.83,38.17,-7.62,2013,-11.83,-7.62
McPherson,QLD,LNP,63,37,-2.72,2013,-13,-2.72
Melbourne,VIC,ALP,30.75,69.25,-3.52,2013,19.25,-3.52
Macnamara (fmr Melbourne Ports),VIC,ALP,46.44,53.56,-4.33,2013,3.56,-4.33
Menzies,VIC,LP,64.45,35.55,-5.8,2013,-14.45,-5.8
Mitchell,NSW,LP,72.08,27.92,-4.92,2013,-22.08,-4.92
Moncrieff,QLD,LNP,67.95,32.05,-0.46,2013,-17.95,-0.46
Moore,WA,LP,61.86,38.14,-0.67,2013,-11.86,-0.67
Moreton,QLD,ALP,48.45,51.55,0.42,2013,1.55,0.42
Nicholls (fmr Murray),VIC,LP,70.87,29.13,-1.29,2013,-20.87,-1.29
New England,NSW,NP,70.71,29.29,-3.91,2013,-20.71,-3.91
Newcastle,NSW,ALP,41.17,58.83,-3.66,2013,8.83,-3.66
North Sydney,NSW,LP,65.89,34.11,-1.83,2013,-15.89,-1.83
O'Connor,WA,LP,67.25,32.75,5.75,2013,-17.25,5.75
Oxley,QLD,ALP,46.23,53.77,-2,2013,3.77,-2
Page,NSW,NP,52.52,47.48,-6.71,2013,-2.52,-6.71
Parkes,NSW,NP,72.35,27.65,-3.49,2013,-22.35,-3.49
Parramatta,NSW,ALP,49.43,50.57,-3.8,2013,0.57,-3.8
Paterson,NSW,LP,59.78,40.22,-4.45,2013,-9.78,-4.45
Pearce,WA,LP,58.06,41.94,0.8,2013,-8.06,0.8
Perth,WA,ALP,45.65,54.35,-1.53,2013,4.35,-1.53
Petrie,QLD,LNP,50.53,49.47,-3.04,2013,-0.53,-3.04
Port Adelaide,SA,ALP,35.98,64.02,-6.89,2013,14.02,-6.89
Rankin,QLD,ALP,45.22,54.78,-0.63,2013,4.78,-0.63
Reid,NSW,LP,50.85,49.15,-3.53,2013,-0.85,-3.53
Richmond,NSW,ALP,47.02,52.98,-4.01,2013,2.98,-4.01
Riverina,NSW,NP,71.17,28.83,-3,2013,-21.17,-3
Robertson,NSW,LP,53,47,-4,2013,-3,-4
Ryan,QLD,LNP,58.54,41.46,-1.38,2013,-8.54,-1.38
Scullin,VIC,ALP,35.65,64.35,-6.18,2013,14.35,-6.18
Shortland,NSW,ALP,42.79,57.21,-5.64,2013,7.21,-5.64
Solomon,NT,CLP,51.4,48.6,0.35,2013,-1.4,0.35
Stirling,WA,LP,60.3,39.7,-4.75,2013,-10.3,-4.75
Sturt,SA,LP,60.08,39.92,-6.48,2013,-10.08,-6.48
Swan,WA,LP,56.53,43.47,-4,2013,-6.53,-4
Sydney,NSW,ALP,35.35,64.65,-2.42,2013,14.65,-2.42
Tangney,WA,LP,64.67,35.33,-2.35,2013,-14.67,-2.35
Throsby,NSW,ALP,42.23,57.77,-4.34,2013,7.77,-4.34
Spence (fmr Wakefield),SA,ALP,46.6,53.4,-7.13,2013,3.4,-7.13
Wannon,VIC,LP,60.07,39.93,-4.41,2013,-10.07,-4.41
Warringah,NSW,LP,65.35,34.65,-2.26,2013,-15.35,-2.26
Watson,NSW,ALP,43.19,56.81,-2.33,2013,6.81,-2.33
Wentworth,NSW,LP,67.72,32.28,-2.86,2013,-17.72,-2.86
Werriwa,NSW,ALP,47.76,52.24,-4.51,2013,2.24,-4.51
Wide Bay,QLD,LNP,63.16,36.84,2.45,2013,-13.16,2.45
Wills,VIC,ALP,29.24,70.76,-2.77,2013,20.76,-2.77
Wright,QLD,LNP,61.84,38.16,-1.69,2013,-11.84,-1.69
Adelaide,SA,ALP,45.35,54.65,-0.7,2016,4.65,0.7
Aston,VIC,LP,58.59,41.41,0.39,2016,-8.59,-0.39
Ballarat,VIC,ALP,42.68,57.32,-2.43,2016,7.32,2.43
Banks,NSW,LP,51.44,48.56,-1.36,2016,-1.44,1.36
Barker,SA,LP,65.19,34.81,-1.36,2016,-15.19,1.36
Barton,NSW,ALP,41.7,58.3,-3.91,2016,8.3,3.91
Bass,TAS,ALP,43.91,56.09,-10.13,2016,6.09,10.13
Cooper (fmr Batman),VIC,ALP,28.25,71.75,-0.77,2016,21.75,0.77
Bendigo,VIC,ALP,46.26,53.74,-2.48,2016,3.74,2.48
Bennelong,NSW,LP,59.72,40.28,1.95,2016,-9.72,-1.95
Berowra,NSW,LP,66.45,33.55,-2.6,2016,-16.45,2.6
Blair,QLD,ALP,41.12,58.88,-3.62,2016,8.88,3.62
Blaxland,NSW,ALP,30.52,69.48,-8.24,2016,19.48,8.24
Bonner,QLD,LNP,53.39,46.61,-0.3,2016,-3.39,0.3
Boothby,SA,LP,53.5,46.5,-3.62,2016,-3.5,3.62
Bowman,QLD,LNP,57.07,42.93,-1.79,2016,-7.07,1.79
Braddon,TAS,ALP,47.8,52.2,-4.76,2016,2.2,4.76
Bradfield,NSW,LP,71.04,28.96,0.1,2016,-21.04,-0.1
Brand,WA,ALP,38.57,61.43,-7.72,2016,11.43,7.72
Brisbane,QLD,LNP,55.92,44.08,1.64,2016,-5.92,-1.64
Bruce,VIC,ALP,45.92,54.08,-2.28,2016,4.08,2.28
Burt,WA,ALP,42.89,57.11,-13.2,2016,7.11,13.2
Calare,NSW,NP,61.81,38.19,-3.16,2016,-11.81,3.16
Calwell,VIC,ALP,32.13,67.87,-4.01,2016,17.87,4.01
Canberra,ACT,ALP,41.54,58.46,-0.95,2016,8.46,0.95
Canning,WA,LP,56.79,43.21,-4.56,2016,-6.79,4.56
Capricornia,QLD,LNP,50.63,49.37,-0.14,2016,-0.63,0.14
Casey,VIC,LP,56.06,43.94,-1.11,2016,-6.06,1.11
Chifley,NSW,ALP,30.81,69.19,-8.26,2016,19.19,8.26
Chisholm,VIC,LP,51.24,48.76,2.84,2016,-1.24,-2.84
Cook,NSW,LP,65.39,34.61,-0.32,2016,-15.39,0.32
Corangamite,VIC,LP,53.13,46.87,-0.81,2016,-3.13,0.81
Corio,VIC,ALP,40.01,59.99,-2.24,2016,9.99,2.24
Cowan,WA,ALP,49.32,50.68,-5.2,2016,0.68,5.2
Cowper,NSW,NP,62.58,37.42,-0.65,2016,-12.58,0.65
Cunningham,NSW,ALP,36.68,63.32,-2.03,2016,13.32,2.03
Curtin,WA,LP,70.7,29.3,2.48,2016,-20.7,-2.48
Dawson,QLD,LNP,53.34,46.66,-4.24,2016,-3.34,4.24
Deakin,VIC,LP,55.68,44.32,2.5,2016,-5.68,-2.5
Clark (fmr Denison),TAS,ALP,34.66,65.34,-6.43,2016,15.34,6.43
Dickson,QLD,LNP,51.6,48.4,-5.12,2016,-1.6,5.12
Dobell,NSW,ALP,45.19,54.81,-4.63,2016,4.81,4.63
Dunkley,VIC,LP,51.43,48.57,-4.14,2016,-1.43,4.14
Durack,WA,LP,61.06,38.94,-3.98,2016,-11.06,3.98
Eden-Monaro,NSW,ALP,47.07,52.93,-5.84,2016,2.93,5.84
Fadden,QLD,LNP,61.05,38.95,-3.31,2016,-11.05,3.31
Fairfax,QLD,LNP,60.89,39.11,-0.79,2016,-10.89,0.79
Farrer,NSW,LP,70.53,29.47,-1.18,2016,-20.53,1.18
Fenner,ACT,ALP,36.11,63.89,-1.4,2016,13.89,1.4
Fisher,QLD,LNP,59.06,40.94,-0.69,2016,-9.06,0.69
Flinders,VIC,LP,57.77,42.23,-4.04,2016,-7.77,4.04
Flynn,QLD,LNP,51.04,48.96,-5.49,2016,-1.04,5.49
Forde,QLD,LNP,50.63,49.37,-3.75,2016,-0.63,3.75
Forrest,WA,LP,62.56,37.44,-1.25,2016,-12.56,1.25
Fowler,NSW,ALP,32.51,67.49,-4.6,2016,17.49,4.6
Franklin,TAS,ALP,39.28,60.72,-5.63,2016,10.72,5.63
Fremantle,WA,ALP,42.48,57.52,-2.12,2016,7.52,2.12
Gellibrand,VIC,ALP,31.77,68.23,-1.7,2016,18.23,1.7
Gilmore,NSW,LP,50.73,49.27,-3.05,2016,-0.73,3.05
Gippsland,VIC,NP,68.43,31.57,2.59,2016,-18.43,-2.59
Goldstein,VIC,LP,62.68,37.32,1.65,2016,-12.68,-1.65
Gorton,VIC,ALP,30.55,69.45,-3.33,2016,19.45,3.33
Grayndler,NSW,ALP,27.64,72.36,-3.6,2016,22.36,3.6
Greenway,NSW,ALP,43.69,56.31,-3.33,2016,6.31,3.33
Grey,SA,LP,58.63,41.37,-4.91,2016,-8.63,4.91
Griffith,QLD,ALP,48.4,51.6,1.5,2016,1.6,-1.5
Groom,QLD,LNP,65.31,34.69,-1.16,2016,-15.31,1.16
Hasluck,WA,LP,52.05,47.95,-3.97,2016,-2.05,3.97
Herbert,QLD,ALP,49.98,50.02,-6.19,2016,0.02,6.19
Higgins,VIC,LP,60.69,39.31,0.76,2016,-10.69,-0.76
Hindmarsh,SA,ALP,49.42,50.58,-2.47,2016,0.58,2.47
Hinkler,QLD,LNP,58.42,41.58,-0.62,2016,-8.42,0.62
Holt,VIC,ALP,35.83,64.17,-5.08,2016,14.17,5.08
Hotham,VIC,ALP,42.52,57.48,-0.21,2016,7.48,0.21
Hughes,NSW,LP,59.33,40.67,-2.48,2016,-9.33,2.48
Hume,NSW,LP,60.18,39.82,-3.4,2016,-10.18,3.4
Hunter,NSW,ALP,37.54,62.46,-6.78,2016,12.46,6.78
Indi,VIC,LP,54.4,45.6,-4.7,2016,-4.4,4.7
Isaacs,VIC,ALP,44.27,55.73,-1.87,2016,5.73,1.87
Jagajaga,VIC,ALP,45.33,54.67,-1.54,2016,4.67,1.54
Kennedy,QLD,LNP,56.86,43.14,-10.29,2016,-6.86,10.29
Kingsford Smith,NSW,ALP,41.43,58.57,-5.83,2016,8.57,5.83
Kingston,SA,ALP,32.95,67.05,-7.35,2016,17.05,7.35
Kooyong,VIC,LP,63.34,36.66,2.28,2016,-13.34,-2.28
La Trobe,VIC,LP,51.46,48.54,-2.55,2016,-1.46,2.55
Lalor,VIC,ALP,36.56,63.44,-1.28,2016,13.44,1.28
Leichhardt,QLD,LNP,53.95,46.05,-1.73,2016,-3.95,1.73
Lilley,QLD,ALP,44.68,55.32,-4,2016,5.32,4
Lindsay,NSW,ALP,48.89,51.11,-4.1,2016,1.11,4.1
Lingiari,NT,ALP,41.58,58.42,-7.54,2016,8.42,7.54
Longman,QLD,ALP,49.21,50.79,-7.71,2016,0.79,7.71
Lyne,NSW,NP,61.63,38.37,-1.89,2016,-11.63,1.89
Lyons,TAS,ALP,47.69,52.31,-3.53,2016,2.31,3.53
Macarthur,NSW,ALP,41.67,58.33,-11.72,2016,8.33,11.72
Mackellar,NSW,LP,65.74,34.26,-3.1,2016,-15.74,3.1
Macquarie,NSW,ALP,47.81,52.19,-6.67,2016,2.19,6.67
Makin,SA,ALP,40.35,59.65,-4.59,2016,9.65,4.59
Mallee,VIC,NP,71.32,28.68,-2.34,2016,-21.32,2.34
Maranoa,QLD,LNP,67.54,32.46,-4.74,2016,-17.54,4.74
Maribyrnong,VIC,ALP,37.69,62.31,-0.92,2016,12.31,0.92
Mayo,SA,LP,55.35,44.65,-7.16,2016,-5.35,7.16
McEwen,VIC,ALP,42.15,57.85,-7.7,2016,7.85,7.7
McMahon,NSW,ALP,37.89,62.11,-7.48,2016,12.11,7.48
Monash (fmr McMillan),VIC,LP,56.03,43.97,-5.8,2016,-6.03,5.8
McPherson,QLD,LNP,61.64,38.36,-1.36,2016,-11.64,1.36
Melbourne,VIC,ALP,33.43,66.57,2.68,2016,16.57,-2.68
Macnamara (fmr Melbourne Ports),VIC,ALP,48.62,51.38,2.18,2016,1.38,-2.18
Menzies,VIC,LP,60.56,39.44,-3.89,2016,-10.56,3.89
Mitchell,NSW,LP,67.82,32.18,-3.57,2016,-17.82,3.57
Moncrieff,QLD,LNP,64.94,35.06,-3.01,2016,-14.94,3.01
Moore,WA,LP,61.02,38.98,-1.42,2016,-11.02,1.42
Moreton,QLD,ALP,45.98,54.02,-2.47,2016,4.02,2.47
Nicholls (fmr Murray),VIC,NP,74.9,25.1,4.03,2016,-24.9,-4.03
New England,NSW,NP,66.42,33.58,-3.12,2016,-16.42,3.12
Newcastle,NSW,ALP,36.16,63.84,-4.44,2016,13.84,4.44
North Sydney,NSW,LP,63.61,36.39,-2.1,2016,-13.61,2.1
O'Connor,WA,LP,65.04,34.96,-0.38,2016,-15.04,0.38
Oxley,QLD,ALP,40.92,59.08,-5.31,2016,9.08,5.31
Page,NSW,NP,52.3,47.7,-0.8,2016,-2.3,0.8
Parkes,NSW,NP,65.1,34.9,-4.87,2016,-15.1,4.87
Parramatta,NSW,ALP,42.33,57.67,-6.35,2016,7.67,6.35
Paterson,NSW,ALP,39.26,60.74,-10.47,2016,10.74,10.47
Pearce,WA,LP,53.63,46.37,-5.68,2016,-3.63,5.68
Perth,WA,ALP,46.67,53.33,-1.15,2016,3.33,1.15
Petrie,QLD,LNP,51.65,48.35,1.12,2016,-1.65,-1.12
Port Adelaide,SA,ALP,30.09,69.91,-5.89,2016,19.91,5.89
Rankin,QLD,ALP,38.7,61.3,-6.52,2016,11.3,6.52
Reid,NSW,LP,54.69,45.31,1.36,2016,-4.69,-1.36
