Election Date,L-NP (%),ALP (%)
"May 3, 2025",44.7,55.3
"May 21, 2022",47.9,52.1
"May 18, 2019",51.5,48.5
"July 2, 2016",50.3,49.7
"September 7, 2013",53.5,46.5
"August 21, 2010",49.9,50.1
"November 24, 2007",47.3,52.7
"October 9, 2004",52.7,47.3
"November 10, 2001",51.0,49.0
"October 3, 1998",49.0,51.0
"March 2, 1996",53.6,46.4
