,ALP,L-NP,Liberal,National,Greens,Family First,Dems,One Nation,Other
"November 16/17, 2013 (Multi-mode)",32.5,42.5,40,2.5,11,< 0.5,< 0.5,< 0.5,14
"November 2/3, 2013 (Multi-mode)",35,41.5,40,1.5,10.5,< 0.5,< 0.5,< 0.5,13
"October 19/20, 2013 (Multi-mode)",34.5,43.5,41,2.5,10,< 0.5,< 0.5,< 0.5,12
"October 5/6, 2013 (Multi-mode)",37,42,40,2,9,< 0.5,< 0.5,< 0.5,12
"September 21/22, 2013 (Multi-mode)",34,43.5,41,2.5,10.5,< 0.5,< 0.5,< 0.5,12
"Federal Election - September 7, 2013",33.4,45.5,41.2,4.3,8.7,1.4,< 0.5,0.2,10.8
"September 7, 2013 (SMS Exit Poll - 7pm)",33,43.5,41,2.5,11,< 0.5,< 0.5,< 0.5,12.5
"September 7, 2013 (SMS Exit Poll - 6pm)",33,43.5,41,2.5,11,< 0.5,< 0.5,< 0.5,12.5
"September 7, 2013 (SMS Exit Poll - 5pm)",33.5,43,40.5,2.5,11,< 0.5,< 0.5,< 0.5,12.5
"September 7, 2013 (SMS Exit Poll - 4pm)",33.5,42.5,40,2.5,11.5,< 0.5,< 0.5,< 0.5,12.5
"September 7, 2013 (SMS Exit Poll - 3pm)",33.5,42.5,40,2.5,11,< 0.5,< 0.5,< 0.5,13
"September 7, 2013 (SMS Exit Poll - 1pm)",34.5,42,39.5,2.5,10.5,< 0.5,< 0.5,< 0.5,13
"September 7, 2013 (SMS Exit Poll - 1pm)",34.5,42,39.5,2.5,11,< 0.5,< 0.5,< 0.5,12.5
"September 7, 2013 (SMS Exit Poll - 12pm)",34.5,42,40,2,11,< 0.5,< 0.5,< 0.5,12.5
"September 4-6, 2013 (Multi-mode)",31.5,44,41,3,10.5,< 0.5,< 0.5,< 0.5,14
"August 31 - September 1, 2013 (Multi-mode)",34,43,40,3,11,< 0.5,< 0.5,< 0.5,12
"August 28-29, 2013 (Multi-mode)",30.5,44,41,3,12,< 0.5,< 0.5,< 0.5,13.5
"August 23-25, 2013 (Multi-mode)",34.5,45,42.5,2.5,11,< 0.5,< 0.5,< 0.5,9.5
"August 16-18, 2013 (Multi-mode)",36.5,44.5,41,3.5,9.5,< 0.5,< 0.5,< 0.5,9.5
"August 9-11, 2013 (Multi-mode)",36.5,44,41,3,10.5,< 0.5,< 0.5,< 0.5,9
"August 2-4, 2013 (Multi-mode)",38,43,41,2,9.5,< 0.5,< 0.5,< 0.5,9.5
"July 26-28, 2013 (Multi-mode)",38.5,41.5,39,2.5,10.5,< 0.5,< 0.5,< 0.5,9.5
"July 19-21, 2013 (Multi-mode)",41.5,41,38.5,2.5,9,< 0.5,< 0.5,< 0.5,8.5
"July 12-14, 2013 (Multi-mode)",42,41,38,3,7,< 0.5,< 0.5,< 0.5,10
"July 5-7, 2013 (Multi-mode)",41.5,39.5,36,3,8.5,< 0.5,< 0.5,< 0.5,10.5
"June 28-30, 2013 (Multi-mode)",39.5,40.5,37,3.5,8.5,< 0.5,< 0.5,< 0.5,11.5
"June 26, 2013 (Snap SMS Poll)",38,43,40.5,2.5,8.5,< 0.5,< 0.5,< 0.5,10.5
"June 21-23, 2013 (Multi-mode)",30.5,47,44,3,9,< 0.5,< 0.5,< 0.5,13.5
"June 14-16, 2013 (Multi-mode)",33,44.5,42.5,2,9,< 0.5,< 0.5,< 0.5,13.5
"June 7-10, 2013 (Multi-mode)",31,46,43.5,2.5,9.5,< 0.5,< 0.5,< 0.5,13.5
"May 31- June 2, 2013 (Multi-mode)",31.5,45.5,42.5,3,9.5,< 0.5,< 0.5,< 0.5,13.5
"May 24-26, 2013 (Multi-mode)",33.5,45.5,42.5,3,9.5,< 0.5,< 0.5,< 0.5,11.5
"May 17-19, 2013 (Multi-mode)",32.0,45.5,43.0,2.5,10,< 0.5,< 0.5,< 0.5,12.5
"May 10-12, 2013 (Multi-mode)",32.0,46.5,43.0,3.5,9.5,< 0.5,< 0.5,< 0.5,12.0
"May 3-5, 2013 (Multi-mode)",32.0,46.0,43.0,3.0,8.5,< 0.5,< 0.5,< 0.5,13.5
"April 26-28, 2013 (Multi-mode)",30.5,48.0,45.0,3.0,11.0,< 0.5,< 0.5,< 0.5,10.5
"April 18-21, 2013 (Multi-mode)",32.5,44.0,41.5,2.5,10.5,< 0.5,< 0.5,< 0.5,13.0
