,ALP,L-NP,Liberal,National,Greens,Family First,Dems,One Nation,Other
"Federal Election May 21, 2022",32.6,35.7,31.9,3.8,12.3,<0.5,<0.5,5.0,14.4
"Federal Election May 18, 2019",33.3,41.4,36.6,4.8,10.4,<0.5,<0.5,3.1,11.8
